acc,loss
0.7125,0.04864095151424408
0.55,0.0643695704638958
0.6125,0.056436293944716456
0.7,0.057926058769226074
0.7,0.04662675186991692
0.6625,0.059164924547076225
0.6125,0.05977475866675377
0.75,0.0376753032207489
0.6125,0.0603350818157196
0.4375,0.08430182933807373
0.45,0.08001211807131767
0.6375,0.04926970740780234
0.675,0.051698829606175424
0.6125,0.07000501118600369
0.6625,0.05873740389943123
0.6875,0.05388659685850143
0.4875,0.07921799123287201
0.575,0.06467151865363122
0.5,0.0789458617568016
0.4625,0.08925644420087338
0.4625,0.08295669108629226
0.65,0.06344164274632931
0.4875,0.09933021441102027
0.5,0.0793905258178711
0.6125,0.07039349060505629
0.5375,0.06632076352834701
0.3375,0.100191830098629
0.5,0.06846565902233123
0.5125,0.08119290880858898
0.4625,0.07515843212604523
0.5625,0.06780369877815247
0.5875,0.06634336709976196
0.275,0.13115154802799225
0.55,0.06902128010988236
0.6625,0.06351745575666427
0.525,0.11304786652326584
0.5,0.08193823024630546
0.4625,0.09608525112271309
0.4875,0.08950149267911911
0.625,0.06138130538165569
0.6125,0.0574194185435772
0.525,0.07265006117522717
0.6,0.05156099572777748
0.575,0.06092114448547363
0.45,0.0962926983833313
0.7125,0.045409898087382314
0.35,0.11052619367837906
0.3375,0.13140468448400497
0.6875,0.048730211704969405
0.675,0.054258795082569124
0.5125,0.08315734714269638
0.3625,0.1255290001630783
0.55,0.06572604812681675
0.65,0.05814518108963966
0.4625,0.08053862228989601
0.5875,0.06308969333767891
0.425,0.1059429630637169
0.525,0.08123205602169037
0.5,0.08255630284547806
0.5625,0.06352759301662445
0.625,0.06552446261048317
0.5125,0.09039003364741802
0.5625,0.06692897751927376
0.55,0.06985514312982559
0.6375,0.05799167454242706
0.675,0.058566566370427606
0.4625,0.08805837631225585
0.7375,0.045987287908792494
0.425,0.08645260632038117
0.5625,0.07253542765974999
0.5125,0.07338297069072723
0.4125,0.08279568552970887
0.45,0.09285621307790279
0.525,0.09198076240718364
0.5375,0.07728139068931342
0.5875,0.07230348661541938
0.5375,0.07432868108153343
0.5875,0.06241511097177863
0.475,0.08360766023397445
0.5625,0.06723808199167251
0.55,0.07666975110769272
0.675,0.053595385141670705
0.525,0.07663656026124954
0.575,0.07048076204955578
0.45,0.08519666567444802
0.3875,0.0946368582546711
0.575,0.08050381243228913
0.4375,0.08543524444103241
0.5875,0.07757446765899659
0.65,0.05404980666935444
0.65,0.05251055806875229
0.575,0.06345260627567768
0.4875,0.07972406893968582
0.3125,0.11314850598573685
0.6125,0.058490274101495744
0.625,0.054155435785651206
0.575,0.07089092321693898
0.6,0.06049159672111273
0.475,0.09302136190235614
0.525,0.08301636539399623
0.6,0.05925225764513016
0.325,0.09526081383228302
0.4875,0.08063312843441964
0.5,0.08578617647290229
0.6625,0.0488774798810482
0.6125,0.06211944743990898
0.425,0.07577292770147323
0.7,0.05067517012357712
0.5,0.07619990035891533
0.3375,0.10714343041181565
0.5,0.1045047476887703
0.475,0.08497478291392327
0.5,0.08933357745409012
0.5125,0.08798069804906845
0.6,0.06431212276220322
0.6,0.07148870602250099
0.5375,0.07668727561831475
0.3875,0.10770229324698448
0.35,0.11206821203231812
0.5375,0.08167636655271053
0.55,0.07940099760890007
0.4625,0.09371190965175628
0.425,0.10610408559441567
0.7375,0.04913051649928093
0.5375,0.08005275912582874
0.625,0.05713444985449314
0.4375,0.097856505215168
0.4875,0.08341657370328903
0.6,0.06200633328408003
0.5,0.08334487676620483
0.4125,0.08144654333591461
0.7125,0.06880506090819835
0.475,0.09042100012302398
0.55,0.07343152314424514
0.575,0.08714348003268242
0.6,0.0830663025379181
0.5375,0.09702105149626732
0.55,0.08167972564697265
0.5875,0.06810507774353028
0.45,0.09278659895062447
0.5125,0.07681471183896064
0.575,0.07196640744805335
0.425,0.0881803199648857
0.35,0.09565983787178993
0.5625,0.07603889405727386
0.5875,0.07561544701457024
0.5,0.08688909187912941
0.625,0.06638983488082886
0.4625,0.09355680048465728
0.6375,0.06772793009877205
0.45,0.08824668079614639
0.6125,0.06675657369196415
0.525,0.06795008853077888
0.55,0.06990901678800583
0.5,0.09174367561936378
0.475,0.0854541540145874
0.6,0.06930727753788232
0.3875,0.10649605989456176
0.625,0.07026774287223816
0.6125,0.05599700212478638
0.6,0.06207053512334824
0.6,0.05577787309885025
0.6,0.06794530414044857
0.575,0.08101502582430839
0.525,0.07933709546923637
0.375,0.1198335938155651
0.525,0.08396099880337715
0.5375,0.07706578671932221
0.5375,0.07932069934904576
0.625,0.07005595210939645
0.5125,0.07995928712189197
0.3875,0.10225326716899871
0.525,0.08334873840212823
0.525,0.0805385585874319
0.425,0.1028687298297882
0.55,0.07462705224752426
0.6875,0.0569474495947361
0.5625,0.07079647779464722
0.6375,0.05180957019329071
0.425,0.09436333402991295
0.575,0.06532236337661743
0.575,0.06937323585152626
0.625,0.060317999497056005
0.5625,0.07546173576265573
0.5,0.08074709326028824
0.5,0.07806345149874687
0.4,0.11270811706781388
0.4375,0.09834853187203407
0.6125,0.06820906437933445
0.475,0.07892163172364235
0.4875,0.08000322356820107
0.55,0.08827650919556618
0.625,0.06810248717665672
0.475,0.08336105048656464
0.475,0.0813525676727295
0.45,0.09336407110095024
0.45,0.08080388009548187
0.6,0.06265495419502258
0.675,0.051668085157871246
0.3625,0.10337856337428093
0.5625,0.06345747411251068
0.5875,0.07011013701558114
0.55,0.08591268137097359
0.3125,0.13449881970882416
0.525,0.06999027878046035
0.25,0.13190394043922424
0.55,0.06461395099759101
0.4125,0.08988840356469155
0.65,0.05747347101569176
0.575,0.06951330825686455
